n.address,n.mf
"""0xd8c96bf7c109b62d920254870192648b060aa0da""",1.0
"""0xa34917c5e30d93a254a030ebe55d17e8389dec85""",1.0
"""0x6ceb1bbdf92c8b292fedfab4202fa5394b120aef""",1.0
"""0x7f7883504e187cf8ec8058bc43fdb6b4775f4e47""",1.0
"""0xd09e34cdf620a399b3e5e61e508e89ac0d5656cd""",1.0
"""0xe581edeecdc4940eda6d1d4bd3c02c06ccb047f4""",1.0
"""0x6e871ff09745f0a9d6ee559bc0724a133a3f5ffb""",1.0
"""0x9b0c4cfab330139083954c36e7d61369fd7af02c""",1.0
"""0xcd0f844e80ab287150d1eba795b3728e8ede055e""",1.0
"""0x26f08e3e35e07ad5763044c1917bc37de7ff619e""",1.0
"""0x192bf677589308274b74327524ed843bc71dd7db""",1.0
"""0x750f5e4f2e158cbac245e758a781174544527588""",1.0
"""0x3143064591be6c8ed306c4b9907e056e12777ed2""",1.0
"""0x67762bff7624248adac3b9f7a7e9decec2d3c2df""",1.0
"""0x2965cab66cfec9648f9382cf4fce6ce38660b55d""",1.0
"""0x791f41d2081c932c319aef6c88ef1068eacd47c8""",1.0
"""0x763c26d012b097cb3c0eaa99b2c6c62816e59ecb""",1.0
"""0x3c720a604c1253c356299f56a498ad82d6aef47f""",1.0
"""0x748278c2d8fd7d45d473c9cbb46590ea1443e4e7""",1.0
"""0xbbf61c814aa5aa6c4b6c377c44252903542ace60""",1.0
"""0xda5c6bf9ca502e3b2f1c29b6b29cadb1e73fe00d""",1.0
"""0x1e449cb837df59669817c0e4ab1c3a9b8a2252e9""",1.0
"""0x684a132f71b3b46956a7f68f384cf6afc566f452""",1.0
"""0xc27d1dc58106744d1bbb5ad725dadf3fa27c5bc3""",1.0
"""0x5ad5d94f3627a81d23a691de04073cbebc715f48""",1.0
"""0xcee93f310de80259eef21144b4c2c36bb5d8c97f""",1.0
"""0x9a47bd5652d2ed93f2c6bb487c6995d59289def8""",1.0
"""0xa77b2988025c01cdedda52a3ea8c306b40921a52""",1.0
"""0x35c281afe6dd684d9f8886b9711d9d0b6d878d95""",1.0
"""0xafd29165c16891698d00a8cada27394a1837f159""",1.0
"""0xfe28fa264034e6d0c200742e6f6494a00f2962e1""",1.0
"""0xb369bd22d76ab0fdb6eca213952186e274f84c6d""",1.0
"""0x37fff8c0413242a206155d4c7cd557ffde42ff7a""",1.0
"""0xcb2851b1a6d84173c9205051e600fbb6bf03811a""",1.0
