n.address,n.mf
"""0x57f339650df8d73c7d5b08101e5bcc40936fa848""",0.9855
"""0xd3bd07e9060c2717c6cd4822b08c45e055c2c01b""",0.9855
"""0xadb0f270f367c905d8d2c5f32d4dd5abb58319d2""",0.98545
"""0x2b926a9d72859fdafc063bf004c3d90b241d6bd9""",0.9852500000000001
"""0x5f93055929aa39aabbd5d690132d3f263566545a""",0.9850000000000001
"""0x83e5c2b607bba42e182ed336244b135f45c4c276""",0.9850000000000001
"""0xdbad1d6ca426559d453e999f42812598c47a3681""",0.9850000000000001
"""0x1232f23eb075905f3901a8b85687b1d5fb8e7e76""",0.9850000000000001
"""0x3ceef5a287a4ebf7c8c290ea0f681939dd79cdf8""",0.9845
"""0xd23468c715502b3d3bbabc718898b742cefe27a5""",0.9845
"""0xe640dc718d5b9711c852aaaf76600aca4add7261""",0.9845
"""0xee534a7f4719b556df90e5bf1306a2ae53c2b9ed""",0.9845
"""0x53c5c044c3c7c076aa54b19f759755602914085f""",0.9845
"""0xd50be9fe0d6bb93208c2151a038ce0b127b7bb88""",0.9845
"""0x7ce1b91f5fde86951cd4641ea29d53f65cfde96c""",0.9845
"""0x16340c94e49be160a52c3ca6510527fad438814b""",0.9845
"""0x6b7d6afad7316dd427fd8475053fe6c49161362c""",0.9845
"""0x3b2572f562413f79f19d19ca5d535b5b7d55c2a5""",0.9845
"""0x0bcefc33d44ee27e1ee3ad5f680cc08207d44fa2""",0.9805
"""0x24dd6d1fb7a6103d22999c281ec5672038761f26""",0.9805
"""0x0412acdb9f7042c34f54d26d174938cd116b59e3""",0.9805
"""0x985d9e5c45a4969d4a84d5819c4cf881c66fa956""",0.9805
"""0x8d8d66d86589c72124d407807e2b511de697a27a""",0.9805
"""0xa68779fe4db8904d30518a29b6fde26ee1dea547""",0.9805
"""0x2e91993c3e91c32c313981b8f3bede396a5a792d""",0.9805
"""0x27ef329a9c22257762607f62753dad1c11e1a380""",0.9805
"""0xbe9511d989d0033c0f4bac954a661bb1ef463fbb""",0.9805
"""0xe4e718053a24da38a7311d60825ead2b2fb82c1b""",0.9805
"""0x0cb51b2e0907f7ae5a096271ead349ba30a865ce""",0.9805
"""0x08fa3e254146d5bf3367a82b55e984e5f16bd5f1""",0.9805
"""0x17c98bf921f5bc6a3f0c27c8a5de4dc44dfb08ac""",0.9805
"""0x1c889b9cce774d3245c4a276941a9f34ae33c725""",0.9805
"""0xbebcc29fde9fb396d1d8e05fab9092590306570e""",0.9805
"""0xdf21cad71fc2fed321835b5b0b10038d8dc1f644""",0.9805
"""0x3e108429946ed6aa24841a65a31bea41298dfba1""",0.9805
"""0xbdea05d73e285d5c6432d0d310ae3bad8ab8fbac""",0.9805
"""0x5862f758c323752da1864dfa8d7686cc77e9d0a3""",0.9805
"""0x88120c651b586bb0e2c645bb906d9cc66c823aba""",0.9805
"""0xa31fb1c29555d05001424aa5ef6514acd341cdfa""",0.9805
"""0x1eef6eca3a7430fd1911f58ff1f596663e6f6248""",0.9805
"""0x95145294f8a79dfb354f8c9cf8a2e42416b99a69""",0.9805
"""0x3b1a1a2f9730fa76799870651d84b8d5e6d59b67""",0.9805
"""0x1a16aaf6c05d36d6523cd92d4225f9f8818b9102""",0.9805
"""0x0b604d1368abf94d30577efe5339f7772c788d76""",0.9805
"""0x7f9a62c2239dbce70d85a5dadf016119b709cb3c""",0.9805
"""0x7b9b87ff2c3dbead95b6deb60415e6e8c22b0bcd""",0.980395
"""0x9864a9760e6b79f430c8b296dd98149b2aa55062""",0.9803320000000001
"""0x989ae3a8642747a7f0d35db458b59c17d4745763""",0.9803320000000001
"""0xd5eea6b13a333cc8e1e1aefa054200be1fbcc012""",0.9803320000000001
"""0xf353f3c79abfda83b1354dd11d667e8b01259dc0""",0.9803320000000001
"""0x09140819d84bb034b132b46ed47f3a8d8a53c4e8""",0.9802690000000001
"""0x27e60b84dac8456164034ddedf1046a971e84760""",0.9802690000000001
"""0xcaa09ac98935d935e85bca83569f9ffc306a4a29""",0.9800000000000001
"""0xe46950d79241dbfba674cd162622ea66fdcdac03""",0.978148
"""0x730fd1fc281c732afae24eff520390d28535dd65""",0.9760000000000001
"""0x0457515cb53b87d4eddb2d73fc208463c8b9dca5""",0.9760000000000001
"""0xb266cd162f544c970aa91f800a2dfbb921a5352b""",0.9760000000000001
"""0xfbfa17d4cf6117c142cff2e191ac1aa0bb369fd7""",0.9755
"""0x059c117a26d4cfa213b9037635c38378d96a58dc""",0.9755
"""0x823d6fad8f3f115504f734f354730e40ba0f3097""",0.9753580307
"""0x24121c7c002bf776871b4254c064debfd531bead""",0.9750000000000001
"""0x47376dbab0a842fe5a988cdcd12033261e597928""",0.9750000000000001
"""0xa1381b40e0a6b91814f77de19a7ad2cb21753184""",0.9750000000000001
"""0x1df6c37d7f4520f3b41d5a68f3e84d8a118f964d""",0.9750000000000001
"""0xe2e70cd952333782d1b0bf77d3a8955b332ebc95""",0.9748500000000001
"""0xd982337aaef0937950154ab69ab041f8fd5d9153""",0.9745
"""0xecb51187a813795cde6029d9e357571a283d596e""",0.9745
"""0xf3fe2e3540a357bd65ac297665452bd1afcce4f4""",0.9745
"""0x6823ac935f2fb01d41ac5936dd3f38092514c98b""",0.9744
"""0x2393f8a932828ef0274ebbc4f873152837d3ab5b""",0.9743790000000001
